bookId,title,authors,averageRating,isbn,isbn13,languageCode,numPages,ratingsCount,textReviewsCount,publicationDate,publisher,createdAt,updatedAt
1302,Juiced Official Strategy Guide,Doug Walsh,0,744005612,9.78074E+12,eng,112,0,0,6/1/05,BradyGames,4/15/20 11:06,4/15/20 11:06
1303,The 48 Laws of Power,Robert Greene/Joost Elffers,4.18,140280197,9.78014E+12,eng,452,60946,3167,9/1/00,Penguin (Business),4/15/20 11:06,4/15/20 11:06
1305,Gates of Fire,Steven Pressfield,4.42,055338368X,9.78055E+12,eng,392,21934,1629,9/27/05,Bantam,4/15/20 11:06,4/15/20 11:06
1307,Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,4.07,553295411,9.78055E+12,eng,414,16312,175,3/1/92,Spectra Books,4/15/20 11:06,4/15/20 11:06
1312,The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,3.58,812590104,9.78081E+12,en-US,721,146,4,6/18/01,Tor Classics,4/15/20 11:06,4/15/20 11:06
1315,The Afghan Campaign,Steven Pressfield,3.96,038551641X,9.78039E+12,eng,354,3002,198,7/1/06,Doubleday Books,4/15/20 11:06,4/15/20 11:06
1317,Tides of War,Steven Pressfield,3.9,553381393,9.78055E+12,eng,448,3422,157,8/28/01,Bantam,4/15/20 11:06,4/15/20 11:06
1318,Last of the Amazons,Steven Pressfield,3.76,553382047,9.78055E+12,eng,400,2138,125,7/1/03,Bantam,4/15/20 11:06,4/15/20 11:06
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,4,446691437,9.78045E+12,eng,168,53653,4702,4/1/03,Warner Books,4/15/20 11:06,4/15/20 11:06
1320,Gita on the Green,Stephen J. Rosen/Steven Pressfield,3.78,826413013,9.78083E+12,en-US,176,14,2,5/30/02,Continuum,4/15/20 11:06,4/15/20 11:06
1322,Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,3.91,811701646,9.78081E+12,eng,340,85,6,4/24/06,Stackpole Books,4/15/20 11:06,4/15/20 11:06
1326,Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,4.1,140442758,9.78014E+12,en-US,160,226,20,1/30/73,Penguin Classics,4/15/20 11:06,4/15/20 11:06
1327,Phaedrus,Plato/Robin Waterfield,3.92,192802771,9.78019E+12,eng,128,29,6,1/16/03,Oxford University Press  USA,4/15/20 11:06,4/15/20 11:06
1328,Phaedrus,Plato/C.J. Rowe,3.92,140449744,9.78014E+12,eng,176,236,22,8/25/05,Penguin Classics,4/15/20 11:06,4/15/20 11:06
1334,Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,4.47,879756322,9.78088E+12,eng,157,14,0,12/1/91,Prometheus Books,4/15/20 11:06,4/15/20 11:06
1337,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.5,189031823X,9.78189E+12,eng,125,26,4,2/11/19,St. Augustines Press,4/15/20 11:06,4/15/20 11:06
1338,On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,4.06,872207889,9.78087E+12,eng,272,154,4,6/15/06,Hackett Publishing Company  Inc.,4/15/20 11:06,4/15/20 11:06
1342,Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,4.35,801435307,9.7808E+12,eng,233,18,1,9/1/98,Cornell University Press,4/15/20 11:06,4/15/20 11:06
